DSTC10TOPICAL-000000	Hmm I am not sure of that. He went to college for it?	Nope he just attended drama class in high school because that is where the pretty girls went	Hahaha the guy really knew what he was after even that early	Yes, he did. He was a good sport about it, but I felt bad for him.
DSTC10TOPICAL-000011	I'm a huge football fan. How about yourself?	I love football both college and NFL, do you have a favorite NFL team of the 32?	I'm a New England Patriots fan and huge fan of Tom Brady how about you?	I am a fan of the Seattle Seahawks. They are my favorite team.
DSTC10TOPICAL-000012	Well apparently there is a president in Zimbabwe called president banana	They could do a musical number. I think that many fans would follow.	See I like that idea haha. Maybe they could make a lot of money so that Trump could be back into the top three richest presidents of all time	That's a good idea. I wonder if he would be able to win the lottery.
DSTC10TOPICAL-000013	I do too. The Saints should do better, if not for themselves, but for the good of the league.	Yeah I agree with you on that. Do you know what the average actual time of gameplay is for an average NFL game?	Something like 10 minutes, right? I think I heard that when they were talking about the chips in the shoulder pads of the players.	I'm not sure, but I do know that they are one of the oldest franchises in the NFL and have been around since 1960.
DSTC10TOPICAL-000014	I hope so too. We need engineers more than we need athletes if we're going to have a good society.	True! Although it is pretty cool that there isn't a rule that keeps women from playing. All they need to do it meet eligibility	I guess in the future we might see a woman. Anyway, great chat! Have a great evening!	Thank you! I hope you have a wonderful evening as well. It was nice chatting with you.
DSTC10TOPICAL-000015	I don't know honestly. We have some teams that have won state championships in the area but i don't ever go to the games.	I would think it would be more interesting if you went to the actual school.	I would think so too but there's a school in Allen, Texas that spent 60 million dollars to build a football stadium to seat 18,000 people.	Wow, that is a lot of money. I would love to see a game in person.
DSTC10TOPICAL-000016	Yep, that's how consistently good they have been. Did you know that New Orleans cheerleaders are forbidden from eating in the same restaurant as any NFL player. If they are eating somewhere and an NFL player comes in, they have	Thats rude. I wonder why?	They probably don't want any PR problems from that. It's kind of weird that there is no women in the NFL. There is no written rules against female players.	I didn't know that, but I guess it makes sense. I'm not sure why they don't allow them to wear uniforms though.
DSTC10TOPICAL-000017	Really, Id be interested to read it. It does sound a little extreme at some times.	I agree lol, do you have a favorite team?	I do, unfortunately I root for the Dolphins, it was a family thing.	I don't really have a team, but I do like to watch the Super Bowl.
DSTC10TOPICAL-000018	I do not think I have heard of that, what is it? There is a radio station that turns solar energy into sounds	WOw cool one. Have you ever listened to canadian radios?	I have not actually, I just do not have the time I guess. Back to football, Kellan Moore is the only half handed QB in the NFL.	No, I haven't heard of him. What team does he play for? Is he good?
DSTC10TOPICAL-000019	Good point. The ESPN once won an Emmy. Do you know what for?	Hmm I do not know that, did not know they could qualify for any of those awards	Yeah, well they got it for the superimposed yellow like	I'm not sure, but I do know that they have won a lot of awards.
DSTC10TOPICAL-000020	Yes, I did, interesting. I think they owned alot of land.	I believe so too. Up until 1805 the vice president was decided by who the runner up was in the presidential election. Interesting because there probably would have been 2 different opinions on issues of the time in the White	Yes, that is interesting. Its good times have changed.	Yes, it was a very interesting time to be a part of the American Civil War era.
DSTC10TOPICAL-000021	Yeah and after words maybe on a subconscious level. You know the highest scoring game of all time?	Yeah it was 222-0. What a blow out!	Yeah Georgia Tech was not playing around. I would have hated to be on the bus ride home to Cumberland.	I know, right?  I was so disappointed.  It was a great game too.
DSTC10TOPICAL-000022	Im doing great. How bout you.	I'm good, thanks for asking. Do you like Tennis?	I have never really sat down to watch it to be honest.	I love tennis! It's one of my favorite sports to watch. What's your favorite sport?
DSTC10TOPICAL-000023	I love the NFL! I try to follow all 32 teams the best I can.	Nice. I did not know the game season is 17 weeks. That is a long time and lots of games	Yes. It seems to go fast. Each team plays a 16 game schedule.	That's a lot of games! Do you have a favorite team? I like the Seattle Seahawks.
DSTC10TOPICAL-000024	It That is an interesting coincidence.	Did you know the NFL has no rules against women playing?	That's great! There should a team entirely of women!	I didn't know that, but I'm glad to hear it. I'm a big fan of women's soccer.
DSTC10TOPICAL-000025	Hello, do you like television?	I do. I love watching SNL - especially the weekend update.	I love SNL. Did you know when South Park aired the Family Guy episode, they received flowers from the Simpsons crew?	I didn't know that! I love South Park too. It was created by Trey Parker and Matt Stone.
DSTC10TOPICAL-000026	Yes but I guess that was because bowling was much more popular back then	I guess so. Do you know what the highest score in college football is?	Yes that is 222-0 when Georgia Tech beat Cumberland	I'm not sure, but I do know that Bowling is one of the most popular recreational activities in the world.
DSTC10TOPICAL-000027	I think soccer players make less money than a basketball player. But as a whole soccer is watched by a lot of people more in comparison to basketball. That is just my opinion	Yea basketball players are making upwards of 50 million a year thats crazy. I know overseas soccer is a huge sport. In There exists a variation of soccer where 3 teams face each other at the same time.	I never heard of such thing. How 3 teams can play on the field at the same time is a mind blowing. Hahaha	Soccer is the most popular sport in the world, and the world's most popular team sport.
DSTC10TOPICAL-000028	Well the NFL tracks everything. They even have chips in shoulder pads and footballs for tracking so I am pretty sure they are accurate.	I think its great that tech is being integrated into the game, cool stats indeed they should make devices to control the brain damage injuries	You would think that an average NFL player who will make less than an average engineer over his lifetime would want to help their own health. The NFL is violent.	The The NFL has been around since 1920 and was founded in 1920 as the National Football League.
DSTC10TOPICAL-000029	Are you a baseball fan? I'm not, so I am not surprised that the Women's World cup has higher ratings than the World Series.	Soccer is the international sport. Women around the world will be keen on seeing the games. Not so much for baseball, I guess. I am not a big baseball fan, though I follow the playoffs.	I'm not a sports person, I do like chess. Although, I didn't know it was invented in India.	I am a huge baseball fan.  I love watching the World Cup.  It is the world's most popular sport.
DSTC10TOPICAL-000030	No! Wow, that's awesome! Very smart and kind of them. I love animals more than a lot of people lol!	It is a great thing they did! i wish the U.S. would do that!	I do too, we have so many animals going extinct it would probably help a lot. They deserve to thrive and be safe too.	Yes, I agree. It's sad that we have to put them down, but it's the right thing to do.
DSTC10TOPICAL-000031	Yeah I guess it was a more popular game back then. Their coaches are the highest paid people	Yeah no surprise there. Do you know what the highest score in college football is?	Hmmm no I do not, what is it. Did you hear about that giant stadium in Texas?	I'm not sure, but I do know that it is the largest in the state of Texas.
DSTC10TOPICAL-000032	Hi, do you like football?	Hello, i love the NFL now thats a real sports league!	Do you know if they have female players?	I don't know much about the NFL, but I do know that it is the world's most popular sport.
DSTC10TOPICAL-000033	Hello, do you watch NFL?	Yes I tried to watch every nfl game. Do you like Tom Brady?	I like him. I guess he is a book author now as well.	I don't really follow football, but I do know that he is the quarterback for the New England Patriots.
DSTC10TOPICAL-000034	Hello there, do you watch the NFL?	Hi, no I don't watch it. Do you?	Yes me too from time to time. Curious fact, the U of Iowa visitor locker room is painted pink.	No, I do not. I am not a big fan of the NFL. I prefer college football.
DSTC10TOPICAL-000035	Are you a New England Patriots fan?	lol no I am not. Did you know there is no written rule against female players? women are allowed to play football.	And sorry, yes I watch football. I am not a fan of the Patriots either! lol I did know about the rule allowing female players. I'm surprised no females play tho	I'm not a big football fan, but I do know that the patriots are one of the most successful teams in the NFL.
DSTC10TOPICAL-000036	That must be a nightmare for opposing teams! Wonder if that would have helped Cumberland when Georgia Tech set the highest score record when they beat them 222-0. Ha!	Haha that is true! It's so surprising that an average engineer will make more in his life than an NFL or MLB player	Agreed. I even wonder if engineers made more than the top bowlers of the 1960s since they actually made more than the top football players as well!	I don't know about that, but I do know that the NCAA is the highest level of professional sports in the US.
DSTC10TOPICAL-000037	Yeah, no kidding. Although the average lifetime salary of engineers is higher than the average lifetime earning of an NFL player.	Plus fewer concussions too. I think it would be better for women to go into engineering.	Yeah, no kidding! I know the cheerleaders on the Saints have to leave a restaurant if a team player is there.	I don't know about that, but I do know that women in the NFL make a lot more money than men.
DSTC10TOPICAL-000038	Free with you, they should have had Snoop Dogg make a theme song for the game like he did for his son's high school football team LOL	Interesting, do you play golf?	I have tried to play golf but I'm not very good, it just takes so long to do all 18 holes I think	I've never played golf, but I've always wanted to try it. It looks like a lot of fun.
DSTC10TOPICAL-000039	For sure, did you know the NFL is the new religion	I guess it is, many people watch it for sure. Do you know how many teams are there?	I think there are 32 teams now, which is your favorite?	I don't know the exact number, but I do know that there are 31 teams in the National Football League.
DSTC10TOPICAL-000040	Well there is a free website of them if you would like to check it out	Yeah that is nice. Did you know that there is a radio station that turns solar energy into tunes	That is so cool. In WWII soldier made foxhole radio using pencils and razorblades	I did not know that! That's so cool! I'll have to check that out.
DSTC10TOPICAL-000041	Now, that's smart	Haha, yep it is.	It was very nice chatting with you. Have a great day	You as well, have a good one.  I hope you have a great rest of your day.
DSTC10TOPICAL-000042	They cannot socialize or date either.	Well that i agree with but forcing them to leaves a bit much to me.	Yeah probably something happened for them to make that rule. Well, cant wait till the draft lol. Gotta run, nice talking to you.	You as well, have a great day.  I hope you are having a good day.
DSTC10TOPICAL-000043	That was a beautiful show, both in the writing and visually. It's probably the best bit of TV Sci-Fi since 1997.	Yes I thought so too	It's been nice chatting with you, but I'd better get back to work.	I agree, it was a great show. I wish I could go back and watch it all again.
DSTC10TOPICAL-000044	Well I hope the players get their degrees before going to the NFL. The lifetime earnings of an engineer is higher than the average lifetime earnings of an nfl player	They could probably get tons of degrees after the NFL	lol. The bible is the best selling book ever selling over 5 billion copies. I know that because every one has one.	That's a good point. The NFL is one of the most profitable professional sports leagues in the world.
DSTC10TOPICAL-000045	I guess the football players chose the wrong sport then. They could have just gone bowling and make money. They could wear their helmet bowling too.	Well things have changed now so that definitely is not the case. But engineers still make more than football players	Engineers makes more than football players, but not for playing football. Engineers are good at engineering.	Engineering is a tough field to get into.  It takes a lot of hard work and dedication.
DSTC10TOPICAL-000046	I agree. Though the earnings of an engineer over their life time are higher that the earnings of a football player. That makes me feel a little better.	Until you think about retirement age. I'll take ten and out with millions over forty plus and out with millions. lol. What about you?	Same here. I would rather a few years to make my millions.	I would love to retire early and spend the rest of my time traveling the world.
DSTC10TOPICAL-000047	Yes, I forget how football is usually soccer to most people	Soccer is a popular sport around the world. Football is gaining popularity too in other countries.	I think internationally soccer is the most popular. In the US, football generally is more popular	Yes, it is. It is the world's most popular sport by over 200 million people.
DSTC10TOPICAL-000048	Yeah did you know most presidents swear in on the bible.	Two US president did not use it in swearing-in ceremonies.	yeah they are John quincy adams and teddy roosevelt	I did not know that, but I do know that the Bible is a collection of sacred texts.
DSTC10TOPICAL-000049	On a different topic what do you think about Birds by the way? I did eat a chicken for dinner and it was delicious	Birds are pretty awesome, they are technically dinosaurs so I find it fascinating to see living dinosaurs	Yes I agree, it's very crazy that they can range in size from 2 inches to over 9 feet	I love birds! I love the fact that they are the most widely abundant terrestrial carnivore.
DSTC10TOPICAL-000050	Yes, you are right, I have lots of comics books, I am not a reader, I like them for the drawing of the characters.	That is interesting. Dc comics paid $130 in 1938 for exclusive rights to superman.	Yes, Superman and Archie rich are two of the most valuable book I heard of according to my knowledge.	Wow, that is a lot of money.  I didn't know that.  Do you have a favorite superhero?
DSTC10TOPICAL-000051	Hello there, do you play the piano?	Hello, I can play a little. What about you?	No, but I really wish that I could I think it is so cool.	No, I don't play any instruments. I wish I could play an instrument though.
DSTC10TOPICAL-000052	It would be cool if they even had stuff that predated Marvel, if that is even a thing.	I think there are comics way before that.	I think it is cool how they have different universes, even within the same franchise.	I agree. I think it's cool how Marvel has been around since 1939.
DSTC10TOPICAL-000053	I agree! They are lucky to make it on ESPN 12 lol. Do you think there will ever be a woman that tries out for a team?	I don't know enough about women's bodies to say. There aren't many women who play in high school or college though.	I agree, but there is a small chance someday! Did you know ESPN won an emmy for their yellow first down line?	I did not know that, but I do know that they have been around since 1961.
DSTC10TOPICAL-000054	Oh I didn't know they were Canadian! If you are a radio drama fan there is a website where you can listen to thousands for free.	I have never listened to drama on the radio, but I do know it was very big, especially in the days before television	Yes it was basically the big form of entertainment! I bet some presidents even tuned in. The three wealthiest presidents were JFK, Washington, and Jefferson.	I'm not sure about the other three, but there was a lot of drama in the 60s and 70s.
DSTC10TOPICAL-000055	Football has got to be crazy too. Its a money maker for a lot of colleges	Yeah. The only good thing about this model is that it pays for the lesser sports, like swimming and volleyball.	Did you know Espn won an emmy for the creation of the yellow first down line	I did not know that, but I do know that the game is played on a rectangular field with a goal at each end.
DSTC10TOPICAL-000056	I think he is a pretty decent player. So was the former QB for Patriots, Benjarvus	I think considering how many super bowl rings Brady had he is better than decent.	Yeah that is true. Benjarvus on the other hand is the only guy in NFL to have never fumbled a ball.	I think so too. He is one of the best quarterbacks of all time.
DSTC10TOPICAL-000057	Hello, do you listen to the radio?	Not really. Do you?	Yeah I do quite a bit I just have not managed to find that Jupiter station	I used to listen to it a lot when I was younger, but I don't anymore.
DSTC10TOPICAL-000058	It is funny - bowling is a less athletic sport but they used to make twice as much as football players	i think they now get paid more but not all of them	yes that is true. Espn probably got more from winning an emmy for the creation of the virtual yellow line	That's a good point. The game was invented in England in the late 19th century.
DSTC10TOPICAL-000059	Yeah that is a wild fact, I guess the thing to do was to be a bowler in the 60's, that was the life!	Sure would be a lot easier physically than football. Did you see espn won an emmy for creating that superimposed yellow line representing the first down? I wonder what year that was	Yeah I am trying to think if I can remember watching games before it happened. I know I have but it's just so part of the game now I can't really remember.	I think it was in the early 1960s, but I'm not sure.
DSTC10TOPICAL-000060	Fun! We should be just about done with this hit!	yeah, this was a fun one!	I thought so too! Nice talking with you!	Nice talking to you as well.  Have a great day.  I hope you have a great rest of your day.
DSTC10TOPICAL-000061	Yes it was basically the big form of entertainment! I bet some presidents even tuned in. The three wealthiest presidents were JFK, Washington, and Jefferson.	With inflation I can see how Washington or Jefferson might have more worth than President Trump. But JFK surprises me	Yes JFK is a bit surprising. I bet the president of Indonesia made a lot from his pop albums!	I'm not sure, but I do know that he was born and raised in New York City.
DSTC10TOPICAL-000062	No. I usually watch comedy or romantic movies.	It was fantastic. The end left you guessing though. Some people say Infinity War owes part of it's success to Black Panther.	I will make a point of watching it soon.	I haven't seen it yet, but I hear it's really good. I'll have to check it out.
DSTC10TOPICAL-000063	I imagine it was at least hundreds apart?	222-0. I dont even see how that is possible. That one team must have been really bad.	Perhaps a combination of the winning team being just that good and the losing team being so bad	Yeah, it was a lot of fun to watch, but it was really sad to see them lose.
DSTC10TOPICAL-000064	Talk about a good career move that would pay off down the road! Marcia Lucas was the reason for some major changes to the original movie and won an academy award for editing the film.	Another fun fact that I learned is that there's a toy Hans Solo in every Firefly episode. I loved Firefly too!	I never knew that. I'm going to have to go watch and look for it.	You should, it's a great show. It was created by David Benioff and D. B. Weiss.
DSTC10TOPICAL-000065	Hi! I love rock music and it has been for a while now. I think since the 60s.	Yeah, it's definitely a classic and great genre. White snake has had over 50 members through it's history. That's crazy!	I know. The list has its own wikipedia page.	Wow, that's a lot of snakes. I'm not sure if I could handle that many.
DSTC10TOPICAL-000066	Nice! Did you know engineers make more money over time than NFL players do?	I guess that makes sense since their careers are longer too and they have more time to make money	For sure, but I bet NFL players are paid more per hour. Did you know an NFL game has 11 actual minutes of gameplay?	I didn't know that, but it makes sense. The NFL is the most popular professional football league in the world.
DSTC10TOPICAL-000067	Yeah true. Do you know what is the highest score in college football game?	Yes that is 222-0 and do you know who was playing in that game?	Yes that was Georgia tech that beat Cumberland in 1916	I'm not sure, but I do know that the game is played on a rectangular field with a goal at each end.
DSTC10TOPICAL-000068	Actually, I did. That thing was too long, though. I sat for 3 hours, makes me mad to think that the average NFL game has only 11 minutes of actual live gameplay.	Same here. There is so much waiting around. Id like to see a game with a running clock for all of it, stopping only when teams score. That would give more action.	You know they have tracking chips in the player's shoulder pads that records every move on the field. It would be interesting to see what that data shows!	I know what you mean.  I would love to see that as well.
DSTC10TOPICAL-000069	Yeah that makes sense. Because I haven't heard of that rule with any other team. What about the rule for female players? Apparently there is no rule against it, which is interesting	I guess they never imagined that women would want or be able to play. Other sports might not have such a rule either.	Yeah that makes sense. I don't think that women can play basketball or anything like that, at least in the NBA, but maybe I'm wrong? Do you have a favorite quarterback by the way?	I'm a big fan of Dennis Miller. He was a great quarterback.
DSTC10TOPICAL-000070	True. 11 minutes of combat.	I'm all for women breaking barriers and the belief that they can accomplish anything a man can, but not when there is a chance for major injury just based on a size advantage.	True. Anyway, I enjoyed chatting with you!	Thank you, it was nice talking to you as well. I hope you have a great day.
DSTC10TOPICAL-000071	Yeah thats true. Looks like a lot of them just inherited the money	And now the actors that play the characters are getting rich. Marvel movies make serious box office cash	I know right. Have you seen infinity war?	No, I haven't. I've heard it's good, but I've never seen it.
DSTC10TOPICAL-000072	Yes, the talent is there, on the coaching staff too. Though I have heard accusations for cheating.	Yes and while I am not familiar enough to know the details, which team hasn't been accused as such	I really don't know. I figure that the cost of getting caught cheating would be pretty high. Didn't they have to pay a fine or something?	I'm not sure, but I do know that the coaches have to be very strict about what they are doing.
DSTC10TOPICAL-000073	Hi! I do occasionally, usually during big games like Super Bowl.	Me too, I really don't watch much but I do like football. I think Tom Brady is an excellent quarterback.	I agree, though he is now in his 40s born in August 1977. Wonder if he might retire soon?	I don't think so. He is the most successful quarterback in the history of the NFL.
DSTC10TOPICAL-000074	Nice I liked it too. did you know it was founded in 1889 as a playing card company	Yeah, I did not know it was that old. Did you	Yeah I did not know but apparently it has been that long	I didn't know that either! It's crazy to think that it's been around for so long.
DSTC10TOPICAL-000075	Hi, how are you? do you like Marvel	Hello, I am doing good this morning. Yeah I like Marvel. Me and my son are always watching superhero movies.	Nice, me too although I am not a huge Fantastic Four fan. I think the movie killed it for me...	I've never seen it, but I've heard it's good. What's your favorite Marvel movie?
DSTC10TOPICAL-000076	I've watched Australian rules football and Rugby before although they aren't on tv much	They call it football codes. There is also a Gaelic football	Interesting. I mainly watch the NFL even though the games only have an average of 11 minutes of gameplay for each game	I've never heard of that, but it sounds interesting. Do you know much about it?
DSTC10TOPICAL-000077	The nfl has no written rule against female players; women would in fact be allowed if they met the league's eligibility requirements. I had no idea! I would have thought they did but I guess not.	That is interesting but I wonder what the league's eligibility requirements are. What if they had to have played football in college?	I am not sure. Based on the article, they could play. I think that they are not sexist, just biased against age.	I'm not sure, but I do know that the NFL has been around since 1920.
DSTC10TOPICAL-000078	I do! I just watched avengers the other day! Have you seen Wonder Woman?	I haven't, but I should! It was the highest grossing superhero movie!	I know! I've seen the Dark Knight too, have you? It was the highest before Wonder Woman.	I haven't seen it yet, but it's on my list. I've heard it's really good.
DSTC10TOPICAL-000079	Yeah only 13 TD passes which is low for a QB, he did have a better season the previous year	Saquon Barkley should be a good pick for the fantasy draft next season.	Im not aware of that player in what position does he play?	He is a centerfielder for the Pittsburgh Penguins.
DSTC10TOPICAL-000080	That would be different. Maybe they could get a pink locker room like the Univ of Iowa has for its visiting football teams. :) So bad! !	Haha, right! That is crazy. It's not any different than the crazy high score game that ended with 222-0 that's unbelievable!	Yeah that was awful for the losing team I bet. They probably could have benefited from the tracking chips they use today in the players' shoulder pads to record their moves. Maybe could have figured out what they were doing	I know, right?  I was so mad at them.  It was the first time I've ever seen that kind of thing happen in my life.  I don't know what I would have done if it had happened to me.
DSTC10TOPICAL-000081	Would be awesome to watch!	Yea, it's quite ironic that Jackson popularized the robot dance and wanted to build a robot lol	Could he make it sing too?	I don't think so, but it would be cool if he did.  He's a great dancer.
DSTC10TOPICAL-000082	I can't believe google is only 10 years old!	They have certainly grown pretty fast. I love YouTube!	i do too! i also like google maps. Do you use that a lot?	Yes, I use it all the time. It's a great way to keep track of information.
DSTC10TOPICAL-000083	Me too, but I guess in my childhood and college years I was watching much often. I didn't know that 14 of the world's 25 largest stadiums belong to American college football teams. Did you know that?	I did not know that. The University of Iowa's lock room for visiting teams is painted in all pink.	lol why? Do they believe it may bring any benefits to Iowa?	I'm not sure but I do know that it is the largest public university in the state of Illinois.
DSTC10TOPICAL-000084	I wonder too, there is an AM radio frequency that catches Jupiter's radio storms	Very cool, wonder if it just sounds like static or what? Bill Murray voiced the Human Torch in the 1970's fantastic four radio show!	no way! Now i need to look that up. It probably was amazing	Yes, it was. It was on NBC from 1974 to 1978.
DSTC10TOPICAL-000085	Good point. Did you know that bowlers made twice as much as top football stars ?	Thats crazy. It like how engineers make more in a lifetime	And what up with that crazy cumberland game. I would have walked off the field	I did not know that, but I do know that the game is played on a rectangular field.
DSTC10TOPICAL-000086	That's such a nice gesture. For the longest time he was the voice of college football. Did you go to Michigan?	I did not just a big fan. My favorite player of all time attended there so It was how I became a fan	Who is your favorite player of all time?	I went to the University of Michigan, but I didn't get to see him play.
DSTC10TOPICAL-000087	I do love football! How about you?	Yes, I love to go to the games? What do you think of the Patriots?	I like the Patriots! I'm glad that they won the super bowl. Tom Brady puts a lot of work into his game and deserves to be a winner for his dedication to being the best he can be.	I'm not a big football fan, but I do enjoy going to the Super Bowl.
DSTC10TOPICAL-000088	I did, it was pretty boring this year though.	Free with you, they should have had Snoop Dogg make a theme song for the game like he did for his son's high school football team LOL	Interesting, do you play golf?	No, I don't play any sports. I'm not athletic at all. How about you?
DSTC10TOPICAL-000089	Oh yeah you're right when they the aired the final family Guy episode.	Tv is a mass medium for advertisement, entertainment, and news. Is there anything else you enjoy?	Yes it is indeed. I enjoy the Internet. It's addicting and can cause measurable changes in the brain.	I do enjoy the internet as well. It is a great way to share information and ideas.
DSTC10TOPICAL-000090	I wonder if that is supposed to have some effect on the players	I am not sure. In the 60s bowlers used to make more than NFL players	Yeah I guess it was a more popular game back then. Their coaches are the highest paid people	I'm not sure about that, but I do know that the game was invented in 1891.
DSTC10TOPICAL-000091	Wasn't he a running back for the NE Patriots?	Yeah he was and he never fumbled the ball in his career	That's impressive. I wonder how many years he played for the Patriots to have that kind of stat	I'm not sure, but I do know that he is the most successful quarterback of all time.
DSTC10TOPICAL-000092	Now that's suprising. I wonder how much would that be	I'm not sure. I think it's because NFL players do not play past their 30s normally	True. How about golf? are you familiar with it?	I am not familiar with golf, but I do know that it is a team sport.
DSTC10TOPICAL-000093	Yes. The Saints cheerleaders cannot even eat in the same restaurant as the players.	I guess it is to keep the players from getting distracted or from bad press about teams.	I'm sure. Even if the cheerleader is already there, if a player walks into the restaurant the cheerleader has to leave.	That's a good point, I didn't think of that. I guess it's good to keep them on their toes.
DSTC10TOPICAL-000094	I guess that is not a lot considering how long they have been around	That is true actually. Do you know the programming language Python?	I have heard of it, is that somehow related to comedy	I don't know much about it, but I do know that it was created by a man named Peter Gene Hernandez.
DSTC10TOPICAL-000095	I sometimes watch football. You?	I like watching it when it's on! Can you believe there is only 11 minutes of actual gameplay?	I can. they do so much standing around and waiting. it feels like they try to run down the clock. i wouldnt buy a ticket. too expensive.	I don't really watch football, but I do know that it is the most popular sport in the world.
DSTC10TOPICAL-000096	True. It was my pleasure to talk with you.	Have a good day my friend watch a disney film for me today	Sure.	It was a pleasure talking to you as well. I hope you have a great day.
DSTC10TOPICAL-000097	Ha! Maybe so! I mean, there's only 11 minutes of live NFL gameplay on average so it wouldn't hurt to have a few female players, I wouldn't think!	Maybe there is to many advertisements, what do yo think ? Or if the players played more than 11 minutes, they would get more injuries ?	I think it's primarily the commercials. Crazy to think it's only 11 minutes though! I wonder if the chips they use to track the movement of players only tracks 11 minutes worth?	I'm not sure, but I do know that the game is played on a rectangular field with a goal at each end.
DSTC10TOPICAL-000098	Yes and they also have to leave mid meal if they walk in	Yes it is absurd and sexist and it needs to go	I agree. THey are using tracking chips on the players now	I know, right? It's like they don't care about anyone but themselves. I don't get it.
DSTC10TOPICAL-000099	Yes they are and they are collecting many stats such as velocity and rotation and others	Yeah. Do you know who Benjarvus Green-Ellis is?	Of course I do, he played for the Patriots and never fumbled the ball in his career	I don't know much about him, but I do know that he was born in 1958.
DSTC10TOPICAL-000100	That stat actually surprises me with how much football players work! Did you know that in the 60s even top bowlers made more than football players? !	I wasn't aware of that, actually. That's sad and unfair - almost as bad as the Saints cheerleaders not being allowed to dine in the same restaurant as the football players.	That's terrible, especially since the cheerleaders need to leave even if they were there first. Talk about no womens rights?	I didn't know that, but I do know that the game was invented in England in the late 19th century.
DSTC10TOPICAL-000101	How great is that! So important. The library of Alexandria had a unique way of gathering books by making all ships visiting surrender their books for copy .	They must have had a impressive collection	How unfair, they would copy their books give them back the copy and keep the originals.	That is so cool!  I didn't know they did that.  Do you know how many books they have?
DSTC10TOPICAL-000102	Wow. Didn't know that. Antarctica has a disc golf course	Oh that would be a cold course! A golf course in Dubai requires 4 million gallons of water!	That is a lot of water. The US have more golf courses than the world combined	I didn't realize that either.  The course is located in the Arctic Circle of the Pacific Ocean.
DSTC10TOPICAL-000103	How things have changed now. Did you hear they are using tracking chips on the players now?	Yes they are collecting information such as velocity and rotation and a bunch others, Wonder what for though.	I hope they can somehow use them to make the game safer and decrease the number of concussions	I didn't know they were doing that, but I hope they do too. It would be good for everyone involved.
DSTC10TOPICAL-000104	Yes. They are definitely a power couple. Do you watch Game of Thrones? The author called the Pats the Lannisters of the NFL!	Yeah I've heard that one ;) really funny but what does it mean - they always pay their debt ? ;) lol	Did you know that in the 1960's bowlers made twice as much as top football stars?	I did not know that, but I do know that the show is based on George R. R. Martin's "A Song of Ice and Fire" series of fantasy novels.
